,datetime,latitude,longitude,temperature
1115548,2021-01-01 00:00:00,38.85,-77.033,6.1
1168836,2021-01-01 00:00:00,38.87,-77.02,6.3
820675,2021-01-01 00:00:00,38.95,-77.45,5.0
967083,2021-01-01 00:15:00,38.583,-77.717,5.8
647183,2021-01-01 00:15:00,38.398,-77.455,6.7
557670,2021-01-01 00:15:00,38.267,-77.449,7.1
444191,2021-01-01 00:15:00,38.527,-77.859,6.0
707907,2021-01-01 00:35:00,38.01,-77.97,5.6
487046,2021-01-01 00:35:00,38.267,-77.449,7.0
971371,2021-01-01 00:35:00,38.398,-77.455,6.6
450547,2021-01-01 00:35:00,38.527,-77.859,5.7
90485,2021-01-01 00:35:00,38.583,-77.717,5.6
194775,2021-01-01 00:52:00,38.935,-77.447,5.0
189817,2021-01-01 00:52:00,38.847,-77.035,5.6
966489,2021-01-01 00:55:00,38.583,-77.717,5.6
490696,2021-01-01 00:55:00,38.267,-77.449,7.0
972582,2021-01-01 00:55:00,38.398,-77.455,6.5
560940,2021-01-01 00:55:00,38.01,-77.97,5.5
508620,2021-01-01 00:55:00,38.527,-77.859,5.6
225059,2021-01-01 00:56:00,38.504,-77.305,7.2
522785,2021-01-01 00:56:00,38.721,-77.515,5.0
201320,2021-01-01 00:56:00,38.715,-77.181,6.1
370619,2021-01-01 01:00:00,38.87,-77.02,6.0
199952,2021-01-01 01:07:00,38.715,-77.181,6.0
493256,2021-01-01 01:15:00,38.527,-77.859,5.5
932031,2021-01-01 01:15:00,38.583,-77.717,5.5
119317,2021-01-01 01:15:00,38.267,-77.449,7.0
119055,2021-01-01 01:15:00,38.01,-77.97,5.3
825842,2021-01-01 01:21:00,38.715,-77.181,6.0
1288237,2021-01-01 01:35:00,38.583,-77.717,5.5
114443,2021-01-01 01:35:00,38.267,-77.449,6.8
109162,2021-01-01 01:35:00,38.527,-77.859,5.2
1315604,2021-01-01 01:35:00,38.01,-77.97,5.1
191468,2021-01-01 01:52:00,38.935,-77.447,5.0
190276,2021-01-01 01:52:00,38.847,-77.035,6.1
816030,2021-01-01 01:55:00,38.527,-77.859,5.2
1083956,2021-01-01 01:55:00,38.398,-77.455,6.3
554060,2021-01-01 01:55:00,38.267,-77.449,6.6
92773,2021-01-01 01:55:00,38.583,-77.717,5.5
1199367,2021-01-01 01:56:00,38.715,-77.181,5.9
289740,2021-01-01 01:56:00,38.721,-77.515,5.0
226458,2021-01-01 01:56:00,38.504,-77.305,6.7
864104,2021-01-01 02:00:00,38.87,-77.02,5.9
489077,2021-01-01 02:15:00,38.527,-77.859,5.2
923297,2021-01-01 02:15:00,38.01,-77.97,4.9
649958,2021-01-01 02:15:00,38.398,-77.455,6.3
1313028,2021-01-01 02:15:00,38.267,-77.449,6.5
935110,2021-01-01 02:15:00,38.583,-77.717,5.5
109003,2021-01-01 02:35:00,38.527,-77.859,5.2
96048,2021-01-01 02:35:00,38.398,-77.455,6.2
91380,2021-01-01 02:35:00,38.583,-77.717,5.5
706833,2021-01-01 02:35:00,38.267,-77.449,6.5
119584,2021-01-01 02:35:00,38.01,-77.97,4.8
916390,2021-01-01 02:52:00,38.935,-77.447,4.4
1145809,2021-01-01 02:52:00,38.847,-77.035,5.0
561290,2021-01-01 02:55:00,38.01,-77.97,4.6
1328111,2021-01-01 02:55:00,38.267,-77.449,6.5
94645,2021-01-01 02:55:00,38.398,-77.455,6.2
91712,2021-01-01 02:55:00,38.583,-77.717,5.5
108697,2021-01-01 02:55:00,38.527,-77.859,5.3
447546,2021-01-01 02:56:00,38.721,-77.515,5.0
506410,2021-01-01 02:56:00,38.504,-77.305,6.7
200469,2021-01-01 02:56:00,38.715,-77.181,5.6
862299,2021-01-01 03:00:00,38.87,-77.02,5.5
1348419,2021-01-01 03:00:00,38.85,-77.033,5.0
90719,2021-01-01 03:15:00,38.583,-77.717,5.5
649692,2021-01-01 03:15:00,38.398,-77.455,6.1
488234,2021-01-01 03:15:00,38.267,-77.449,6.2
452428,2021-01-01 03:15:00,38.527,-77.859,5.3
1318811,2021-01-01 03:15:00,38.01,-77.97,4.7
93326,2021-01-01 03:35:00,38.398,-77.455,6.0
510723,2021-01-01 03:35:00,38.527,-77.859,5.3
114798,2021-01-01 03:35:00,38.267,-77.449,6.1
1337039,2021-01-01 03:35:00,38.01,-77.97,4.6
742594,2021-01-01 03:35:00,38.583,-77.717,5.2
192387,2021-01-01 03:52:00,38.935,-77.447,4.4
1349065,2021-01-01 03:52:00,38.847,-77.035,5.6
1337609,2021-01-01 03:55:00,38.01,-77.97,4.6
970582,2021-01-01 03:55:00,38.398,-77.455,6.0
819893,2021-01-01 03:55:00,38.527,-77.859,5.2
1314042,2021-01-01 03:55:00,38.267,-77.449,6.1
1190790,2021-01-01 03:55:00,38.583,-77.717,5.2
674499,2021-01-01 03:56:00,38.504,-77.305,6.7
1349742,2021-01-01 03:56:00,38.721,-77.515,5.0
200440,2021-01-01 03:56:00,38.715,-77.181,5.2
862348,2021-01-01 04:00:00,38.87,-77.02,5.3
109085,2021-01-01 04:15:00,38.527,-77.859,5.1
1287723,2021-01-01 04:15:00,38.583,-77.717,5.2
1083926,2021-01-01 04:15:00,38.398,-77.455,5.8
